id	latitude	longitude	datetime	device_id	emitter_id	is_reflection
512163	42.616828666667	9.4804155	2019-09-16 10:25:45	34	1	0
512164	42.616826166667	9.480432	2019-09-16 10:27:45	34	2	0
512165	42.616824666667	9.4804323333333	2019-09-16 10:27:47	34	2	0
512166	42.616823666667	9.4804323333333	2019-09-16 10:27:49	34	2	0
512167	42.616823333333	9.4804315	2019-09-16 10:27:51	34	2	0
512168	42.6168235	9.480431	2019-09-16 10:27:53	34	2	0
512169	42.6168235	9.480431	2019-09-16 10:27:53	34	3	0
512170	42.616824666667	9.4804298333333	2019-09-16 10:27:55	34	2	0
512171	42.616826166667	9.4804291666667	2019-09-16 10:27:57	34	2	0
512172	42.6168265	9.480429	2019-09-16 10:27:59	34	2	0
512173	42.616827166667	9.4804288333333	2019-09-16 10:28:01	34	2	0
512174	42.6168275	9.480429	2019-09-16 10:28:03	34	2	0
512175	42.616827666667	9.4804291666667	2019-09-16 10:28:05	34	2	0
512176	42.616827666667	9.4804291666667	2019-09-16 10:28:05	34	3	0
512177	42.616828166667	9.4804288333333	2019-09-16 10:28:07	34	2	0
512178	42.616828166667	9.4804288333333	2019-09-16 10:28:07	34	3	0
512179	42.6168285	9.4804291666667	2019-09-16 10:28:09	34	2	0
512180	42.616827833333	9.4804298333333	2019-09-16 10:28:11	34	2	0
512181	42.6168295	9.480429	2019-09-16 10:28:13	34	2	0
512182	42.61683	9.4804286666667	2019-09-16 10:28:15	34	2	0
512183	42.616829833333	9.4804285	2019-09-16 10:28:17	34	2	0
512184	42.616830166667	9.4804281666667	2019-09-16 10:28:19	34	2	0
512185	42.616830666667	9.4804273333333	2019-09-16 10:28:21	34	2	0
512186	42.616830666667	9.4804276666667	2019-09-16 10:28:23	34	2	0
512187	42.616830833333	9.4804273333333	2019-09-16 10:28:25	34	2	0
512188	42.616830333333	9.4804266666667	2019-09-16 10:28:27	34	2	0
512189	42.6168295	9.4804253333333	2019-09-16 10:28:29	34	2	0
512190	42.6168285	9.4804231666667	2019-09-16 10:28:31	34	2	0
